,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60
0,SZ301308,0.23734713400569224,0.9230769230769231,,,,,,2026-08-17,0.0314914,0.0469419,0.67085904,0.009103048,0.19392158,0.006347454,0.13521938,0.028735805,0.6121568,0.96947,1.0088252,0.9633164,0.9924609,0.98388237,0.7627765,0.89800006,1.6262118,1.3080707,0.9800753,0.93520707,0.8963706,1.0120322,1.1950691,0.021923665,0.06697746,0.08048722,0.21458647,0.26306108,-0.001035308,0.0185185,0.005341301,-0.016354335,-0.009515249,0.0055751023,0.70075417,0.15413752,0.45015576,0.39904967,0.021995297,-0.018540338,0.052887026,0.22510566,0.08563078,1.0542487,1.0542487,1.0542487,1.5450643,1.7885977,0.9468938,0.7561162,0.7346433,0.7346433,0.7346433,0.99664944,0.989713,0.98474354,1.1802118,1.4231294,0.96495056,0.8730918,0.80674356,0.8618447,0.91729414,1.0,1.0,0.95,0.7,0.35,0.4946788,0.8180383,0.8302635,0.3274307,0.25177246,0.2,0.6,0.8,0.033333335,0.45,0.6,0.1,0.35,0.56666666,0.78333336,-0.4,0.5,0.45,-0.53333336,-0.33333334,0.3799393,0.33638826,0.23060983,-0.2078488,0.02053582,0.11272551,0.45973417,0.3996509,0.25235018,0.29601485,0.6,0.8,0.6,0.46666667,0.56666666,0.4,0.2,0.4,0.53333336,0.43333334,0.2,0.6,0.2,-0.06666667,0.13333334,0.5707499,0.85405254,0.5647227,0.31848314,0.45629635,0.42925012,0.14594746,0.43527728,0.6815168,0.5437037,0.14149974,0.7081051,0.12944545,-0.3630337,-0.0874073,0.96838903,0.9979725,0.9704475,0.9299353,0.9039502,0.21329056,0.19350371,0.22094408,0.19603051,0.20395522,0.6202521,0.791291,0.86399686,0.7608805,0.80488604,0.36467114,0.5503086,0.5162073,0.47344956,0.5140872,0.6353288,0.4496914,0.48379275,0.5265505,0.48591283,-0.2706577,0.10061714,0.03241452,-0.05310089,0.028174361
1,SH600176,0.19205692564128368,0.9230769230769231,,,,SH600176,中国巨石,2026-08-17,0.039497305,0.05677748,0.6956509,0.017055683,0.3003952,0.00022449352,0.0039539183,0.022666115,0.39920962,0.96200347,1.0164076,0.9617875,0.99558645,0.93437004,0.73531395,0.851465,1.3775877,0.824121,0.9439084,0.91217434,0.86949337,0.95319396,1.0306653,0.03700429,0.0626882,0.07115471,0.15534362,0.24641809,0.01800679,0.016844198,0.0069582844,-0.010696294,-0.0014931101,0.591982,0.66182095,0.3347072,0.36743578,0.011197944,0.020078015,0.01202675,0.06440295,0.20190227,0.013381511,1.0164076,1.0164076,1.0164076,1.3862239,1.6666685,0.8970152,0.7279788,0.7279788,0.7279788,0.7279788,0.96666557,0.95815504,0.93449825,1.094645,1.261746,0.9182157,0.8739238,0.81045127,0.8259093,0.82879627,1.0,1.0,1.0,0.73333335,0.6333333,0.8625739,0.9431138,0.9431138,0.4132521,0.28978816,1.0,1.0,1.0,0.033333335,0.4,0.2,0.1,0.55,0.7,0.85,0.8,0.9,0.45,-0.6666667,-0.45,0.59256476,-0.1343284,0.07481427,-0.29056546,0.0020250208,0.22633234,0.4480949,0.5331126,0.47258887,0.20112225,0.6,0.7,0.55,0.43333334,0.53333336,0.4,0.3,0.45,0.56666666,0.46666667,0.2,0.4,0.1,-0.13333334,0.06666667,0.7158959,0.83207613,0.5810565,0.39186528,0.5254002,0.2841041,0.16792384,0.41894352,0.60813475,0.47459975,0.43179178,0.6641523,0.16211297,-0.21626943,0.05080049,0.9139456,1.0388699,0.99447906,0.92191356,0.8113509,0.10019994,0.16117544,0.21093574,0.20624258,0.20690529,0.67244804,0.6811651,0.642873,0.55381745,0.6374296,0.40865707,0.44650102,0.53645223,0.5171558,0.522555,0.5913429,0.553499,0.4635478,0.48284417,0.47744504,-0.18268585,-0.10699796,0.07290443,0.03431164,0.04510995
2,SH603986,0.1867661685574354,0.9230769230769231,,,,SH603986,兆易创新,2026-08-17,0.047293305,0.05606799,0.8434992,0.0,0.0,0.008774686,0.1565008,0.05606799,1.0,0.9548423,1.0,0.9464639,0.98339653,0.90772545,0.76743215,0.97364724,1.4736253,1.0541908,0.93758476,0.9072022,0.9190988,1.0343014,1.1807568,0.037586946,0.053263173,0.086003155,0.20148425,0.27935874,0.019759413,0.015031679,-0.00429236,-0.01840181,-0.0064654425,0.6908981,0.7300832,0.08718295,0.64645845,0.1633698,0.022896426,0.025155237,0.12167863,0.2325249,0.009973702,1.0,1.0,1.1289645,1.5945245,1.906889,0.89319664,0.759232,0.759232,0.759232,0.759232,0.95221615,0.93949616,1.0035853,1.2499946,1.4220674,0.91003895,0.8679104,0.84932405,0.8679104,0.93755454,1.0,1.0,0.8,0.56666666,0.28333333,1.0,1.0,0.65119505,0.28824398,0.20979093,1.0,1.0,0.1,0.13333334,0.41666666,0.2,0.1,0.55,0.7,0.85,0.8,0.9,-0.45,-0.56666666,-0.43333334,0.6732209,-0.24343958,-0.24541906,-0.081880786,-0.18784422,0.27561426,0.534863,0.14729978,0.06405855,0.083816126,0.6,0.6,0.5,0.4,0.46666667,0.4,0.4,0.5,0.6,0.53333336,0.2,0.2,0.0,-0.2,-0.06666667,0.8426026,0.8419131,0.51588696,0.36472368,0.4929858,0.15739737,0.15808688,0.48411304,0.6352763,0.5070142,0.6852053,0.6838262,0.03177391,-0.27055266,-0.014028396,0.84945107,0.99009806,1.0844921,1.0850537,0.98607016,0.10889965,0.17611599,0.26597393,0.23895244,0.22260162,0.870316,0.8766253,0.78909177,0.67580444,0.68452,0.45192444,0.46188378,0.47434226,0.49814224,0.4952088,0.54807556,0.5381162,0.5256577,0.50185776,0.5047912,-0.09615113,-0.07623244,-0.051315468,-0.0037154986,-0.009582378
3,SZ000988,0.15275185139332526,0.8461538461538461,,,,,,2026-08-17,0.03195934,0.043671686,0.7318092,0.0012711554,0.029107086,0.01044119,0.23908372,0.041129373,0.9417858,0.96903044,1.0012318,0.9589126,0.9853351,0.9121947,0.81972826,0.9313726,1.317088,1.3729533,0.95127624,0.92818886,0.92115885,1.0339597,1.2269968,0.03308033,0.036023162,0.059257623,0.19282483,0.24607866,0.02040247,0.010773472,-0.0005554461,-0.016813012,-0.011358344,0.950968,0.8198967,0.0030751291,0.5892055,0.64980346,0.007918833,0.023330525,0.0841179,0.20982897,0.10807439,1.0012318,1.0012318,1.0514644,1.4867175,1.6510603,0.89046514,0.8197252,0.7938592,0.7938592,0.7938592,0.9727623,0.9465927,0.9835466,1.2816099,1.4405023,0.930989,0.9021431,0.88330066,0.885411,0.9373908,1.0,1.0,1.0,0.7,0.35,0.98887944,0.99321353,0.80021983,0.29752234,0.24048124,1.0,1.0,0.1,0.13333334,0.43333334,0.2,0.2,0.4,0.6,0.8,0.8,0.8,-0.3,-0.46666667,-0.36666667,0.59758246,-0.22033195,0.06459382,-0.012318676,0.41502452,0.21022241,0.35067606,0.1785584,0.2432953,0.28234974,1.0,0.8,0.6,0.5,0.51666665,0.0,0.2,0.4,0.5,0.48333332,1.0,0.6,0.2,0.0,0.033333335,1.0,0.88271403,0.5553705,0.38467503,0.44331956,0.0,0.11728595,0.4446295,0.615325,0.55668044,1.0,0.76542807,0.110741034,-0.23064995,-0.1133609,0.85223764,1.0205104,0.95740217,0.9450983,1.077552,0.17535494,0.2900993,0.30659696,0.2612484,0.30751765,0.81149065,0.8243673,0.9861585,0.86786383,0.83185524,0.529547,0.5708778,0.499694,0.5189676,0.4860174,0.47045305,0.4291222,0.500306,0.48103237,0.5139826,0.059093922,0.1417556,-0.00061199494,0.037935257,-0.027965194
4,SZ300433,0.14698527717830726,1.0,,,,,,2026-08-17,0.03904494,0.04971911,0.7853105,0.0,0.0,0.010674171,0.21468951,0.04971911,1.0,0.9624223,1.0,0.9521492,0.9788063,0.9432421,0.8534894,0.9251325,1.3871467,1.0292403,0.9582685,0.9485954,0.94314927,1.0015681,1.1331133,0.026541153,0.028259108,0.055124104,0.1277176,0.19392516,0.014240282,0.0061933785,-0.0012651779,-0.009959683,-0.005867726,0.719677,0.44030112,0.018436909,0.4712932,0.27923584,0.013250898,0.023534393,0.068869896,0.14284737,0.039984696,1.0,1.0,1.0543526,1.4382641,1.5679753,0.91704,0.85377437,0.8326695,0.8326695,0.8326695,0.97296816,0.96707594,0.9912014,1.0531007,1.3754858,0.9364841,0.9364841,0.900318,0.92318904,0.9475884,1.0,1.0,0.9,0.6666667,0.33333334,1.0,1.0,0.7548184,0.27630776,0.22756585,1.0,1.0,0.1,0.033333335,0.38333333,0.2,0.1,0.4,0.6,0.8,0.8,0.9,-0.3,-0.56666666,-0.41666666,0.88649803,0.31647673,0.35422337,0.3820723,0.546074,0.46639642,0.8472227,0.59466714,0.22953425,0.24334887,0.6,0.6,0.45,0.4,0.45,0.4,0.4,0.55,0.6,0.55,0.2,0.2,-0.1,-0.2,-0.1,0.7707542,0.77766615,0.5588583,0.33959222,0.49445504,0.2292458,0.22233385,0.44114175,0.6604078,0.50554496,0.5415084,0.5553323,0.11771651,-0.32081556,-0.0110899005,0.7568739,0.8782705,0.9669221,1.018356,1.3225061,0.15004666,0.21121314,0.25210136,0.2661196,0.42316765,0.6629841,0.8131659,1.090727,1.0956722,0.9564191,0.67784125,0.58960336,0.49007583,0.50573266,0.47320458,0.32215872,0.41039667,0.5099242,0.49426737,0.5267954,0.35568252,0.17920668,-0.019848362,0.011465274,-0.053590808
5,SH600460,0.14554007656424908,0.8461538461538461,,,,SH600460,士兰微,2026-08-17,0.03969465,0.045190845,0.8783781,0.0015267078,0.033783562,0.0039694896,0.08783835,0.04213743,0.9324329,0.96182084,1.0014684,0.9580029,0.9858752,0.9447923,0.80616635,0.8775335,1.3658737,0.94222945,0.96317786,0.9386259,0.9182575,1.010694,1.098822,0.022747956,0.040112726,0.05592761,0.17317775,0.2176586,0.011452392,0.011687024,0.0020239532,-0.013864772,-0.0034482754,0.6336473,0.7781349,0.045837034,0.4967558,0.07655121,0.013917352,0.008782519,0.062514946,0.19034521,0.0029021616,1.0014684,1.0014684,1.0325999,1.4637276,1.6729103,0.9339286,0.8108652,0.80440426,0.80440426,0.80440426,0.9718131,0.9624188,0.9624188,1.1489437,1.3562642,0.94667035,0.9119611,0.8735386,0.8844745,0.94181865,1.0,1.0,1.0,0.73333335,0.5,0.97825843,0.9922959,0.85714066,0.29666135,0.22520943,1.0,1.0,0.1,0.13333334,0.45,0.2,0.1,0.5,0.6666667,0.8333333,0.8,0.9,-0.4,-0.53333336,-0.38333333,0.09602225,-0.5485824,-0.042627588,0.49762976,0.6969569,-0.07017626,0.41415417,0.36172038,0.23125342,0.40933785,0.6,0.7,0.55,0.43333334,0.5,0.4,0.3,0.45,0.56666666,0.5,0.2,0.4,0.1,-0.13333334,0.0,0.788312,0.87753403,0.6027577,0.35386324,0.5101693,0.211688,0.12246599,0.3972423,0.64613676,0.48983064,0.576624,0.755068,0.2055154,-0.2922735,0.020338714,0.9284727,1.0797232,1.123292,1.2285485,1.4823956,0.12747692,0.20795459,0.27896982,0.33518362,0.56609666,0.71192074,0.78379124,0.9586707,0.88631487,0.81879485,0.5076384,0.50605965,0.4585673,0.4699623,0.50277084,0.49236158,0.49394035,0.54143274,0.5300377,0.49722916,0.015276835,0.012119311,-0.082865424,-0.060075376,0.005541695
6,SH600183,0.1401175084557853,0.7692307692307693,,,,SH600183,生益科技,2026-08-17,-0.009664178,0.047703896,-0.20258676,0.010760784,0.22557452,0.027278934,0.57183874,0.0068539726,0.14367741,1.0097585,1.0206243,0.97245485,0.9962434,0.9590292,0.70613986,0.8536228,1.0676876,0.74337333,0.9799584,0.9334851,0.86842865,0.9112529,0.9926965,0.025265189,0.074244015,0.10171143,0.11061373,0.14848652,0.012706502,0.021484325,0.009250235,-0.0035467048,-0.0030297588,0.63233465,0.7675946,0.2894903,0.07967712,0.12698191,-0.005371397,-0.03016457,0.04369415,0.14017428,0.096681386,1.0512844,1.0512844,1.0512844,1.131432,1.3279858,0.92504966,0.71631473,0.67485964,0.67485964,0.67485964,0.99302363,0.9911714,0.9712259,1.0088326,1.1183056,0.9720544,0.87451196,0.7711278,0.814218,0.8720204,1.0,1.0,1.0,0.76666665,0.56666666,0.59373796,0.84689844,0.8637593,0.7121331,0.4978217,0.6,0.8,0.9,0.13333334,0.33333334,0.2,0.1,0.4,0.6,0.8,0.4,0.7,0.5,-0.46666667,-0.46666667,0.7467563,0.23747717,0.25793314,0.008115695,0.105460785,0.74122965,0.51247966,0.2410521,0.18468462,0.071278825,0.6,0.7,0.5,0.43333334,0.55,0.4,0.3,0.5,0.56666666,0.45,0.2,0.4,0.0,-0.13333334,0.1,0.69171715,0.88740855,0.58363014,0.4774879,0.54471713,0.30828288,0.112591445,0.41636986,0.5225121,0.45528284,0.38343424,0.7748171,0.1672603,-0.045024194,0.0894343,0.9478226,0.9972751,0.95991284,0.9543993,1.0381103,0.121452115,0.14855862,0.17925166,0.1907154,0.22311383,1.002237,0.89866555,0.7017463,0.6523862,0.666282,0.39172232,0.57637537,0.46651193,0.51992273,0.505657,0.6082777,0.4236246,0.5334881,0.48007724,0.494343,-0.21655539,0.15275076,-0.06697616,0.039845508,0.011313982
7,SZ000657,0.13990914181191563,0.8461538461538461,,,,,,2026-08-17,0.027551021,0.03425655,0.80425555,0.00087458687,0.0255305,0.005830942,0.17021394,0.032507375,0.948939,0.9731877,1.0008512,0.9675131,0.9876015,1.0327752,0.6808146,0.7950017,1.1414305,0.88267976,0.97619325,0.9306408,0.8506376,0.89786637,1.0352486,0.023100516,0.091167405,0.11255758,0.1261387,0.21854833,0.0036030735,0.022969304,0.012395856,-0.0036859054,-0.004914883,0.060819514,0.58187264,0.42449406,0.06617491,0.15425216,0.016600594,-0.03400266,0.031601753,0.15557927,0.10974039,1.0214102,1.0452592,1.0452592,1.1462547,1.6129416,0.939851,0.68264025,0.6734225,0.6734225,0.6734225,0.9993146,0.9993146,0.96720517,1.0065551,1.2671317,0.96269155,0.8722622,0.7444216,0.78314483,0.8533069,1.0,0.9,0.95,0.8,0.55,0.73748815,0.8751878,0.8782819,0.6906837,0.3476007,0.6,0.5,0.75,0.033333335,0.35,0.8,0.1,0.4,0.6,0.8,-0.2,0.4,0.35,-0.56666666,-0.45,-0.44085327,0.34873948,0.6942393,0.34379724,0.3978929,-0.22412388,0.45186743,0.42676732,0.35719576,0.20365354,0.6,0.8,0.55,0.43333334,0.51666665,0.4,0.2,0.45,0.56666666,0.48333332,0.2,0.6,0.1,-0.13333334,0.033333335,0.42005986,0.7865431,0.61066043,0.45236918,0.5181261,0.57994014,0.21345693,0.38933957,0.54763085,0.48187393,-0.15988031,0.57308614,0.22132085,-0.09526165,0.036252122,1.286926,1.450999,1.1101499,1.0240958,1.1711315,0.27804652,0.44485357,0.4812714,0.41253015,0.36833575,0.58224607,0.5770855,0.77678066,0.7483525,0.66447955,0.10894607,0.5633185,0.50685453,0.47061697,0.49426454,0.8910539,0.43668154,0.49314544,0.52938306,0.50573546,-0.78210783,0.12663694,0.013709112,-0.058766074,-0.011470895
8,SH688396,0.13908866160188968,0.9230769230769231,,,,SH688396,华润微,2026-08-17,0.035427198,0.048056465,0.7371995,0.0029523072,0.06143413,0.0096769575,0.20136641,0.04215185,0.87713176,0.96578497,1.0028512,0.9564391,0.9870966,0.9507659,0.8211941,0.94295096,1.3627697,0.9878087,0.9679275,0.94653016,0.93479216,1.0217464,1.1003985,0.02296565,0.039276715,0.056820273,0.16537775,0.18268943,0.008737106,0.0103848735,0.00023151009,-0.013566183,-0.0036647976,0.36184093,0.6408311,0.0005810336,0.5215103,0.12273628,0.014598292,0.006737876,0.06300851,0.17496325,0.007712939,1.0028512,1.0028512,1.0556062,1.4985882,1.6155853,0.93863124,0.8254533,0.8178676,0.8178676,0.8178676,0.98599565,0.97224134,0.97224134,1.1296655,1.2881838,0.9484527,0.9252266,0.8823695,0.9146296,0.9556424,1.0,1.0,0.95,0.7,0.4,0.9556012,0.98392713,0.7661036,0.26755828,0.2283169,1.0,1.0,0.1,0.13333334,0.45,0.2,0.1,0.5,0.6666667,0.8333333,0.8,0.9,-0.4,-0.53333336,-0.38333333,0.4727385,-0.28049406,0.07970174,0.48844618,0.5120224,0.5273755,0.6473726,0.5163204,0.13324182,0.13714439,0.6,0.7,0.5,0.4,0.5,0.4,0.3,0.5,0.6,0.48333332,0.2,0.4,0.0,-0.2,0.016666668,0.69613934,0.80522954,0.5457508,0.36335802,0.5020851,0.30386063,0.19477049,0.4542492,0.636642,0.49791488,0.39227873,0.610459,0.09150159,-0.27328396,0.0041702217,0.8685463,1.051318,1.1456258,1.3362839,1.8072371,0.18295181,0.27589926,0.34085044,0.45407668,0.66418827,0.6963693,0.90190834,1.1031108,1.2669873,0.92587453,0.49995294,0.48715842,0.43738806,0.4505731,0.48186117,0.5000471,0.5128416,0.56261194,0.5494269,0.5181388,-9.414029e-05,-0.02568314,-0.1252239,-0.09885383,-0.036277656
9,SZ002837,0.1331278251371263,0.8461538461538461,,,,,,2026-08-17,0.018039882,0.038855173,0.46428522,0.0,0.0,0.02081529,0.53571475,0.038855173,1.0,0.9822798,1.0,0.96183336,0.9851733,0.9412151,0.7914443,0.9449558,1.261876,1.3728555,0.96070683,0.9332903,0.93532604,1.0112125,1.1300278,0.026578527,0.044762038,0.07880321,0.13866197,0.1696144,0.0155059425,0.01332485,-0.0026005474,-0.011924705,-0.00689775,0.85089225,0.81229997,0.038116217,0.57316846,0.5044165,0.008281259,0.00674786,0.08937917,0.16169575,0.07345581,1.0,1.0,1.0945587,1.3375342,1.5281856,0.92144656,0.79127455,0.78071,0.78071,0.78071,0.9781887,0.9580168,1.0045593,1.1546019,1.2717966,0.9421673,0.8998041,0.88174295,0.9000105,0.9509598,1.0,1.0,0.75,0.53333336,0.26666668,1.0,1.0,0.69871247,0.39382273,0.29337415,1.0,1.0,0.1,0.13333334,0.38333333,0.2,0.1,0.5,0.6666667,0.8333333,0.8,0.9,-0.4,-0.53333336,-0.45,0.5080108,-0.27153862,-0.13150164,0.37303916,0.6542916,0.33461714,0.62526494,0.1640966,0.21357298,0.19425634,0.6,0.7,0.6,0.53333336,0.53333336,0.4,0.3,0.4,0.46666667,0.46666667,0.2,0.4,0.2,0.06666667,0.06666667,0.8031202,0.8873208,0.5386134,0.39906165,0.43188283,0.1968798,0.11267917,0.4613866,0.6009383,0.56811714,0.6062404,0.77464163,0.07722682,-0.20187669,-0.13623431,0.9103953,1.0101103,1.0544593,1.1497014,1.3882309,0.16171187,0.20233741,0.27983356,0.30562076,0.4928324,0.5129227,0.8505226,0.9595162,0.85771865,0.81813323,0.5866895,0.51551324,0.4726963,0.4627048,0.49345094,0.4133105,0.48448676,0.5273037,0.53729516,0.50654906,0.17337899,0.031026473,-0.05460737,-0.07459038,-0.013098096
10,SH600584,0.12632850863561848,0.8461538461538461,,,,SH600584,长电科技,2026-08-17,0.08767261,0.095654376,0.91655624,0.007981763,0.08344379,0.0,0.0,0.07969085,0.8331124,0.9193943,1.0073384,0.9193943,0.9644216,0.91460836,0.7105432,0.8968026,1.1076192,0.8479734,0.9277309,0.89079523,0.8858493,0.9553992,0.9738235,0.040667795,0.06542674,0.08661393,0.13613975,0.13307346,0.019671932,0.018518379,-0.0011131895,-0.010650046,-0.0010702941,0.58496886,0.73435646,0.0057813697,0.47428,0.019729823,0.032925237,0.025872078,0.124726005,0.19902648,0.057750214,1.0073384,1.0073384,1.046925,1.3263798,1.3263798,0.88991225,0.71229434,0.7086795,0.7086795,0.7086795,0.93345535,0.91505057,0.96050876,1.0808415,1.1039866,0.9061072,0.8676762,0.79578274,0.87399024,0.8765767,1.0,1.0,1.0,0.76666665,0.6666667,0.9375064,0.9751278,0.86126965,0.4716212,0.4716212,1.0,1.0,0.1,0.13333334,0.56666666,0.8,0.1,0.5,0.6666667,0.8333333,0.2,0.9,-0.4,-0.53333336,-0.26666668,0.76884127,0.023566743,0.32162148,0.62953055,0.4521678,0.62935525,0.60384244,0.51087654,0.5008895,0.22740585,0.6,0.8,0.6,0.53333336,0.51666665,0.4,0.2,0.4,0.46666667,0.48333332,0.2,0.6,0.2,0.06666667,0.033333335,0.8758889,0.95562017,0.56570697,0.46390817,0.5254252,0.1241111,0.044379823,0.43429303,0.53609186,0.4745748,0.7517778,0.91124034,0.13141397,-0.072183676,0.05085041,0.7225156,0.8462246,0.8861053,0.9998994,1.1134738,0.1798045,0.23612092,0.2391365,0.2757536,0.32607463,1.7034345,1.1103202,0.9254644,0.7562987,0.73536974,0.6218461,0.57172936,0.49184972,0.49219808,0.47990945,0.3781539,0.42827064,0.5081503,0.50780195,0.5200905,0.2436922,0.14345875,-0.016300531,-0.015603849,-0.04018109
11,SH688521,0.1146013548097861,0.7692307692307693,,,,SH688521,芯原股份,2026-08-17,0.08646599,0.09990884,0.8654489,0.001728383,0.0172996,0.011714464,0.11725153,0.09645207,0.9654008,0.92041534,1.0015908,0.9096332,0.9728619,0.94012374,0.81347764,0.99425536,1.3229784,1.2185153,0.939072,0.94795847,0.93758726,1.0272279,1.1144977,0.03571008,0.036155757,0.07978548,0.1681673,0.20185262,0.011250558,9.882561e-05,-0.0025588498,-0.014502754,-0.0042716693,0.24814555,6.8485e-05,0.03600061,0.57639426,0.13659233,0.03842685,0.05159682,0.0867218,0.18306208,0.01151653,1.0015908,1.0250552,1.1440123,1.4746797,1.660053,0.8993372,0.8174989,0.7521432,0.7521432,0.7521432,0.9477154,0.96772426,0.99395496,1.1332302,1.2968538,0.91488296,0.91578436,0.8967211,0.9142112,0.94886434,1.0,0.9,0.85,0.6,0.35,0.9844423,0.8792848,0.63249886,0.3430371,0.27299717,1.0,0.4,0.1,0.06666667,0.43333334,0.8,0.1,0.4,0.6,0.8,0.2,0.3,-0.3,-0.53333336,-0.36666667,0.6906766,0.4600461,0.076084934,0.36179563,0.53782696,0.66493547,0.49631643,0.26684782,0.15858884,0.14554992,0.4,0.6,0.45,0.4,0.5,0.6,0.4,0.55,0.6,0.5,-0.2,0.2,-0.1,-0.2,0.0,0.75176513,0.7317448,0.5029208,0.3971346,0.4667187,0.24823488,0.26825517,0.49707916,0.6028654,0.53328127,0.5035302,0.46348968,0.005841668,-0.20573081,-0.06656256,0.73048204,0.83479184,0.89311576,0.9639706,1.0433148,0.18059477,0.17797996,0.23428854,0.25191057,0.23461682,1.6384884,1.00582,0.8952991,0.8679171,0.80523425,0.5074028,0.56109285,0.46770886,0.50110215,0.50725365,0.49259725,0.43890712,0.5322911,0.49889782,0.49274635,0.014805511,0.12218577,-0.06458228,0.0022043467,0.014507277
12,SZ300476,0.11328126622329807,0.8461538461538461,,,,,,2026-08-17,0.024689052,0.053796187,0.45893684,0.008427719,0.15666014,0.020679418,0.38440302,0.03694075,0.6866797,0.97590584,1.0082246,0.95572466,0.9824403,1.0362328,0.68587023,0.81199205,1.0607626,1.3605117,0.9931533,0.95110756,0.86688083,0.905202,1.0765985,0.014308085,0.09450043,0.123932004,0.122868806,0.2031015,-0.0025799263,0.021749737,0.012053318,-0.002283647,-0.009743393,0.081281476,0.4855701,0.33106583,0.026771726,0.70193046,0.012006585,-0.04898139,0.018612653,0.12791093,0.21083161,1.0423186,1.0423186,1.0423186,1.1067058,1.4587001,0.95572466,0.69214165,0.6444969,0.6444969,0.6444969,1.0024574,1.0128734,0.99573904,1.0124823,1.2655679,0.9815436,0.8963461,0.7310263,0.8018985,0.8709233,0.8,0.7,0.85,0.73333335,0.36666667,0.5112987,0.8791509,0.8936243,0.7691396,0.436627,0.6,0.8,0.9,0.13333334,0.05,1.0,0.2,0.4,0.6,0.8,-0.4,0.6,0.5,-0.46666667,-0.75,0.022396687,-0.04184477,0.29579702,0.039395202,0.34367886,0.26736996,0.6125386,0.16999167,0.06611819,0.1604356,0.4,0.7,0.55,0.46666667,0.48333332,0.6,0.3,0.45,0.53333336,0.51666665,-0.2,0.4,0.1,-0.06666667,-0.033333335,0.34876338,0.834073,0.61062455,0.47756973,0.43561798,0.65123665,0.16592698,0.38937548,0.5224303,0.564382,-0.30247325,0.6681461,0.22124906,-0.044860557,-0.12876405,1.0129952,1.2787429,1.0618137,0.9975019,1.0638074,0.15613957,0.37212458,0.3806771,0.3444161,0.30875576,0.5704517,1.1694674,1.1888525,1.1167365,1.0245225,0.33727604,0.5657631,0.48849398,0.5113779,0.46291283,0.66272396,0.43423685,0.511506,0.48862213,0.5370872,-0.32544792,0.13152628,-0.02301203,0.02275575,-0.07417437
